CADRE GENE ID,AFUB Gene ID,Af293 orthologue,public id,Description for A1163,Description for Af293
CADAFUBG00000051,AFUB_000510,CADAFUAG00002282,AFUA_6G14240,"calcium sensor (NCS-1), putative; encoded by transcript AFUB_000510A","Afu6g14240 (Alt. Locus), calcium sensor (NCS-1), putative"
CADAFUBG00000052,AFUB_000520,CADAFUAG00001912,AFUA_6G14230,conserved hypothetical protein; encoded by transcript AFUB_000520A,"Afu6g14230 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000053,AFUB_000530,CADAFUAG00002246,AFUA_6G14220,"kinesin family protein (KinA), putative; encoded by transcript AFUB_000530A","Afu6g14220 (Alt. Locus), kinesin family protein (KinA), putative, similar to kinesin KinA (GI:12044815) (Emericella nidulans)"
CADAFUBG00000054,AFUB_000540,CADAFUAG00001899,AFUA_6G14210,"ubiquitin conjugating enzyme (UbcB), putative; encoded by transcript AFUB_000540A",Ubiquitin-conjugating enzyme E2 2 (EC 6.3.2.19)(Ubiquitin-protein ligase ubc2)(Ubiquitin carrier protein ubc2) [Source:UniProtKB/Swiss-Prot;Acc:Q4WLA7]
CADAFUBG00000055,AFUB_000550,CADAFUAG00001973,AFUA_6G14200,"acetyl-CoA-acetyltransferase, putative; encoded by transcript AFUB_000550A","Afu6g14200 (Alt. Locus), acetyl-CoA-acetyltransferase, putative, (2.3.1.9)"
CADAFUBG00000056,AFUB_000560,CADAFUAG00002329,AFUA_6G14190,conserved hypothetical protein; encoded by transcript AFUB_000560A,"Afu6g14190 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000057,AFUB_000570,CADAFUAG00002057,AFUA_6G14180,"beta-1,4-mannosyltransferase (Alg1), putative; encoded by transcript AFUB_000570A","Beta-1,4-mannosyltransferase  [Source:UniProtKB/TrEMBL;Acc:Q5BLW4]"
CADAFUBG00000058,AFUB_000580,CADAFUAG00001720,AFUA_6G14170,"CDF zinc transporter (Msc2), putative; encoded by transcript AFUB_000580A","Afu6g14170 (Alt. Locus), CDF zinc transporter (Msc2), putaitve"
CADAFUBG00000059,AFUB_000590,CADAFUAG00002262,AFUA_6G14160,conserved hypothetical protein; encoded by transcript AFUB_000590A,"Afu6g14160 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000060,AFUB_000600,CADAFUAG00001801,AFUA_6G14150,"C6 transcription factor, putative; encoded by transcript AFUB_000600A","Afu6g14150 (Alt. Locus), C6 transcription factor, putative"
CADAFUBG00000061,AFUB_000610,CADAFUAG00001902,AFUA_6G14140,"RTA1 domain protein, putative; encoded by transcript AFUB_000610A","Afu6g14140 (Alt. Locus), RTA1 domain protein, putative"
CADAFUBG00000062,AFUB_000620,CADAFUAG00001830,AFUA_6G14130,"ubiquitin conjugating enzyme, putative; encoded by transcript AFUB_000620A","Afu6g14130 (Alt. Locus), ubiquitin conjugating enzyme, putative, (6.3.2.19)"
CADAFUBG00000063,AFUB_000630,CADAFUAG00002007,AFUA_6G14120,conserved hypothetical protein; encoded by transcript AFUB_000630A,"Afu6g14120 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000064,AFUB_000640,CADAFUAG00001824,AFUA_6G14110,hypothetical protein; encoded by transcript AFUB_000640A,"Afu6g14110 (Alt. Locus), hypothetical protein"
CADAFUBG00000065,AFUB_000650,CADAFUAG00002335,AFUA_6G14100,"mitochondrial carnitine:acyl carnitine carrier, putative; encoded by transcript AFUB_000650A","Afu6g14100 (Alt. Locus), mitochondrial carnitine:acyl carnitine carrier, putative"
CADAFUBG00000066,AFUB_000660,CADAFUAG00002253,AFUA_6G14090,CFEM domain protein; encoded by transcript AFUB_000660A,Uncharacterized protein AFUA_6G14090 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q4WLB9]
CADAFUBG00000067,AFUB_000670,CADAFUAG00002099,AFUA_6G14070,hypothetical protein; encoded by transcript AFUB_000670A,"Afu6g14070 (Alt. Locus), extracellular glycine/serine-rich protein, putative"
CADAFUBG00000068,AFUB_000680,,,tRNA-Arg; anticodon ACG [Source: TRNASCAN-SE],
CADAFUBG00000069,AFUB_000690,CADAFUAG00001986,AFUA_6G14060,conserved hypothetical protein; encoded by transcript AFUB_000690A,"Afu6g14060 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000070,AFUB_000700,CADAFUAG00002036,AFUA_6G14050,FAD binding domain protein; encoded by transcript AFUB_000700A,"Afu6g14050 (Alt. Locus), FAD binding domain protein, (1.5.3.-)"
CADAFUBG00000071,AFUB_000710,CADAFUAG00002311,AFUA_6G14040,"glycosyl transferase, putative; encoded by transcript AFUB_000710A","Afu6g14040 (Alt. Locus), glycosyl transferase, putative, (2.4.1.-)"
CADAFUBG00000072,AFUB_000720,CADAFUAG00002231,AFUA_6G14030,"acyltransferase, putative; encoded by transcript AFUB_000720A","Afu6g14030 (Alt. Locus), acyltransferase, putative, similar to GB:AAS41447.1: acyltransferase (Bacillus cereus)"
CADAFUBG00000073,AFUB_000730,CADAFUAG00001736,AFUA_6G14020,conserved hypothetical protein; encoded by transcript AFUB_000730A,"Afu6g14020 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000074,AFUB_000740,CADAFUAG00001652,AFUA_6G14010,"GPI anchored protein, putative; encoded by transcript AFUB_000740A","Afu6g14010 (Alt. Locus), GPI anchored protein, putative"
CADAFUBG00000075,AFUB_000750,CADAFUAG00001926,AFUA_6G14000,"toxin biosynthesis protein Tri7-like , putative; encoded by transcript AFUB_000750A","Afu6g14000 (Alt. Locus), toxin biosynthesis protein Tri7-like , putative, similar to TRI7 (GI:14091058) (Gibberella zeae) PMID: 11976083 similar to Tri7 (GI:13621071) (Fusarium sporotrichioides) PMID: 11352533 PMID: 12039755 similar to SirH (GI:46403049) (Leptosphaeria maculans) PMID: 15387811"
CADAFUBG00000076,AFUB_000760,CADAFUAG00002110,AFUA_6G13990,"acetyltransferase, putative; encoded by transcript AFUB_000760A","Afu6g13990 (Alt. Locus), acetyltransferase, putative, similar to C-8 acyltransferase (Fusarium sporotrichioides) (GI:28207662) PMID: 14532047"
CADAFUBG00000077,AFUB_000770,CADAFUAG00002143,AFUA_6G13980,"UbiA-like prenyltransferase, putative; encoded by transcript AFUB_000770A","Afu6g13980 (Alt. Locus), UbiA-like prenyltransferase, putative, similar to p-hydroxybenzoate polyprenyl diphosphate Ppt1 (GI:12249121) (Schizosaccharomyces pombe), (2.5.1.-)"
CADAFUBG00000078,AFUB_000780,CADAFUAG00002187,AFUA_6G13970,"FAD-dependent monooxygenase (PaxM), putative; encoded by transcript AFUB_000780A","Afu6g13970 (Alt. Locus), FAD-dependent monooxygenase (PaxM), putative, similar to monooxygenase PaxM (GI:13021723) (Penicillium paxilli) PMID: 11169115, (1.14.13.1)"
CADAFUBG00000079,AFUB_000790,CADAFUAG00001714,AFUA_6G13950,integral membrane protein; encoded by transcript AFUB_000790A,"Afu6g13950 (Alt. Locus), integral membrane protein"
CADAFUBG00000080,AFUB_000800,CADAFUAG00001575,AFUA_6G13945,cytochrome P450; encoded by transcript AFUB_000800A,"Afu6g13945 (Alt. Locus), cytochrome P450 monooxygenase, putative, similar to Cytochrome P450 24A1, mitochondrial precursor (P450-CC24) (Vitamin D(3) 24-hydroxylase) (1,25-dihydroxyvitamin D(3) 24-hydroxylase) (Swiss-Prot:Q07973) (Homo sapiens) PubMed=8266831, (1.14.-.-)"
CADAFUBG00000081,AFUB_000810,CADAFUAG00001910,AFUA_6G13940,cytochrome P450; encoded by transcript AFUB_000810A,"Afu6g13940 (Alt. Locus), cytochrome P450 monooxygenase, putative, similar to GA14-synthase; P450-1 (GI:42661492) (Fusarium proliferatum) similar to cytochrome P450 monoxygenase (GI:3549891) (Gibberella fujikuroi) PMID: 9917370"
CADAFUBG00000082,AFUB_000820,CADAFUAG00001793,AFUA_6G13930,"polyketide synthase, putative; encoded by transcript AFUB_000820A","Afu6g13930 (Alt. Locus), LovB-like polyketide synthase, putative, similar to lovastatin nonaketide synthase LovB (GI:5106755) (Aspergillus terreus) PUBMED   10381407"
CADAFUBG00000083,AFUB_000830,CADAFUAG00001876,AFUA_6G13920,"adenylate-forming enzyme, putative; encoded by transcript AFUB_000830A similar to adenylate-forming enzyme AfeA (GI:34558504) [Emericella nidulans]","Afu6g13920 (Alt. Locus), adenylate-forming enzyme, putative, similar to adenylate-forming enzyme AfeA (GI:34558504) (Emericella nidulans)"
CADAFUBG00000084,AFUB_000840,CADAFUAG00001613,AFUA_6G13900,conserved hypothetical protein; encoded by transcript AFUB_000840A,"Afu6g13900 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000085,AFUB_000850,CADAFUAG00002063,AFUA_6G13890,conserved hypothetical protein; encoded by transcript AFUB_000850A,"Afu6g13890 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000086,AFUB_000860,CADAFUAG00002076,AFUA_6G13880,"MFS transporter, putative; encoded by transcript AFUB_000860A","Afu6g13880 (Alt. Locus), MFS transporter, putative, similar to GB:AAB47713.1: HOL1 {Saccharomyces cerevisiae;}"
CADAFUBG00000087,AFUB_000870,CADAFUAG00002366,AFUA_6G13860,conserved hypothetical protein; encoded by transcript AFUB_000870A,"Afu6g13860 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000088,AFUB_000880,CADAFUAG00001619,AFUA_6G13850,"GTPase activating protein (Evi5), putative; encoded by transcript AFUB_000880A","Afu6g13850 (Alt. Locus), GTPase activating protein (Evi5), putative, GB:AAC16031.1: EVI-5 homolog {Homo sapiens;}"
CADAFUBG00000089,AFUB_000890,CADAFUAG00001955,AFUA_6G13840,conserved hypothetical protein; encoded by transcript AFUB_000890A,"Afu6g13840 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000090,AFUB_000900,CADAFUAG00001825,AFUA_6G13830,"oxidoreductase, short chain dehydrogenase/reductase family; encoded by transcript AFUB_000900A","Afu6g13830 (Alt. Locus), oxidoreductase, short chain dehydrogenase/reductase family, (1.1.1.69)"
CADAFUBG00000091,AFUB_000910,CADAFUAG00001992,AFUA_6G13820,conserved hypothetical protein; encoded by transcript AFUB_000910A; GO_function: phospholipase activity [GO ID 0004620],"Afu6g13820 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000092,AFUB_000920,CADAFUAG00002085,AFUA_6G13810,hypothetical protein; encoded by transcript AFUB_000920A,"Afu6g13810 (Alt. Locus), hypothetical protein"
CADAFUBG00000093,AFUB_000930,CADAFUAG00002299,AFUA_6G13800,"integral membrane protein Pth11-like, putative; encoded by transcript AFUB_000930A","Afu6g13800 (Alt. Locus), integral membrane protein Pth11-like, putative"
CADAFUBG00000094,AFUB_000940,CADAFUAG00001940,AFUA_6G13790,"flavin-binding monooxygenase, putative; encoded by transcript AFUB_000940A","Afu6g13790 (Alt. Locus), flavin-binding monooxygenase, putative"
CADAFUBG00000095,AFUB_000950,CADAFUAG00002065,AFUA_6G13780,"MFS multidrug transporter, putative; encoded by transcript AFUB_000950A","Afu6g13780 (Alt. Locus), MFS multidrug transporter, putative"
CADAFUBG00000096,AFUB_000960,CADAFUAG00001560,AFUA_6G13770,"C6 finger domain protein, putative; encoded by transcript AFUB_000960A","Afu6g13770 (Alt. Locus), C6 finger domain protein, putative"
CADAFUBG00000097,AFUB_000970,CADAFUAG00002209,AFUA_6G13765,PHD finger protein; encoded by transcript AFUB_000970A,"Afu6g13765 (Alt. Locus), PHD finger protein, contains a PHD finger domain"
CADAFUBG00000098,AFUB_000980,CADAFUAG00002244,AFUA_6G13760,"alpha-1,2-mannosidase, putative subfamily; encoded by transcript AFUB_000980A","Afu6g13760 (Alt. Locus), alpha-1,2-mannosidase, putative subfamily"
CADAFUBG00000099,AFUB_000990,CADAFUAG00001907,AFUA_6G13750,"ferric-chelate reductase, putative; encoded by transcript AFUB_000990A","Afu6g13750 (Alt. Locus), ferric-chelate reductase, putative, (1.16.1.7)"
CADAFUBG00000100,AFUB_001000,CADAFUAG00001644,AFUA_6G13740,conserved hypothetical protein; encoded by transcript AFUB_001000A,"Afu6g13740 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000101,AFUB_001010,CADAFUAG00002125,AFUA_6G13730,hypothetical protein; encoded by transcript AFUB_001010A,"Afu6g13730 (Alt. Locus), hypothetical protein"
CADAFUBG00000102,AFUB_001020,CADAFUAG00002047,AFUA_6G13720,"class V chitinase, putative; encoded by transcript AFUB_001020A","Afu6g13720 (Alt. Locus), class V chitinase, putative, similar to killer toxin alpha subunit (P09805) (Kluyveromyces lactis), (3.2.1.14)"
CADAFUBG00000103,AFUB_001030,CADAFUAG00001852,AFUA_6G13710,hypothetical protein; encoded by transcript AFUB_001030A,"Afu6g13710 (Alt. Locus), hypothetical protein"
CADAFUBG00000104,AFUB_001040,CADAFUAG00002360,AFUA_6G13700,hypothetical protein; encoded by transcript AFUB_001040A,"Afu6g13700 (Alt. Locus), hypothetical protein"
CADAFUBG00000105,AFUB_001050,CADAFUAG00002062,AFUA_6G13690,DNA topoisomerase II; encoded by transcript AFUB_001050A,DNA topoisomerase 2 Fragment (EC 5.99.1.3) [Source:UniProtKB/TrEMBL;Acc:Q8X1U5]
CADAFUBG00000106,AFUB_001060,CADAFUAG00002071,AFUA_6G13680,"APSES transcription factor Xbp1, putative; encoded by transcript AFUB_001060A","Afu6g13680 (Alt. Locus), APSES transcription factor Xbp1, putative, similar to transcriptional repressor that binds to promoter sequences of the cyclin genes, CYS3, and SMF2; expression is induced by stress or starvation during mitosis, and late in meiosis; member of the Swi4p/Mbp1p family; potential Cdc28p substrate; Xbp1p (GI:6322090) (Saccharomyces cerevisiae)"
CADAFUBG00000107,AFUB_001070,CADAFUAG00001770,AFUA_6G13670,conserved hypothetical protein; encoded by transcript AFUB_001070A,"Afu6g13670 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000108,AFUB_001080,CADAFUAG00001866,AFUA_6G13660,conserved hypothetical protein; encoded by transcript AFUB_001080A,"Afu6g13660 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000109,AFUB_001090,,,tRNA-Gly; anticodon GCC [Source: TRNASCAN-SE],
CADAFUBG00000110,AFUB_001100,CADAFUAG00001660,AFUA_6G13650,"nuclear serine protease HtrA2/Nma111, putative; encoded by transcript AFUB_001100A",Pro-apoptotic serine protease nma111 (EC 3.4.21.-) [Source:UniProtKB/Swiss-Prot;Acc:Q4WLG1]
